expected_sentiment,text,model_output,confidence_score
negative,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",negative,0.6759317517280579
positive,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,positive,0.987235963344574
neutral,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",neutral,0.8872759938240051
neutral,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,neutral,0.8859540224075317
positive,@ work til 6pm... lets go lakers!!!,positive,0.864747166633606
negative,Damn you North Korea. http://bit.ly/KtMeQ,negative,0.9297789335250854
negative,Can we just go ahead and blow North Korea off the map already?,negative,0.63555508852005
negative,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",negative,0.922915518283844
negative,Why the hell is Pelosi in freakin China? and on whose dime?,negative,0.9170127511024475
negative,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",negative,0.8706595301628113
negative,insects have infected my spinach plant :(,negative,0.9322084188461304
negative,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,negative,0.9365997910499573
negative,"just got back from church, and I totally hate insects.",negative,0.9358634352684021
negative,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,negative,0.936920166015625
positive,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],positive,0.9149128198623657
negative,History exam studying ugh,neutral,0.49775540828704834
negative,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",negative,0.9555131793022156
negative,"Higher physics exam tommorow, not lookin forward to it much :(",negative,0.9253899455070496
negative,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",negative,0.9118812680244446
negative,Cheney and Bush are the real culprits - http://fwix.com/article/939496,negative,0.8435166478157043
negative,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,negative,0.9043751955032349
negative,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",negative,0.764573335647583
negative,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",negative,0.7786346077919006
negative,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,negative,0.7770538330078125
negative,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",negative,0.9588878750801086
positive,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",positive,0.9812341332435608
neutral,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,neutral,0.9102526307106018
positive,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",positive,0.9488932490348816
positive,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,positive,0.9829225540161133
positive,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",positive,0.9866477251052856
positive,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,positive,0.9790473580360413
positive,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,positive,0.9645013809204102
positive,zomg!!! I have a G2!!!!!!!,positive,0.9121113419532776
positive,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,positive,0.9473724365234375
positive,just got a free G2 android at google i/o!!!,positive,0.9116475582122803
positive,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,positive,0.6157147884368896
neutral,At GWT fireside chat @googleio,neutral,0.9102034568786621
positive,I am happy for Philip being at GoogleIO today,positive,0.9830372929573059
positive,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,positive,0.9905883073806763
neutral,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",neutral,0.5375210046768188
positive,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,negative,0.5894528031349182
neutral,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",neutral,0.6218531727790833
negative,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,negative,0.9517740607261658
positive,watching Night at The Museum . Lmao,neutral,0.6848229765892029
positive,i loved night at the museum!!!,positive,0.9879944324493408
neutral,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,positive,0.49542468786239624
positive,just got back from the movies.  went to see the new night at the museum with rachel.  it was good,positive,0.9780640602111816
neutral,Just saw the new Night at the Museum movie...it was...okay...lol 7\10,positive,0.9460421800613403
neutral,Going to see night at the museum 2 with tall boy,neutral,0.5740159153938293
positive,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,positive,0.9789052605628967
positive,no watching The Night At The Museum. Getting Really Good,positive,0.8733242750167847
positive,"Night at the Museum, Wolverine and junk food - perfect monday!",positive,0.9720039367675781
positive,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,positive,0.9817329049110413
neutral,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,positive,0.8973351716995239
neutral,Taking Katie to see Night at the Museum.  (she picked it),neutral,0.5838115215301514
negative,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,negative,0.3656679689884186
neutral,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,neutral,0.8799580335617065
negative,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,negative,0.8902137875556946
negative,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,negative,0.6656740307807922
negative,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,neutral,0.42643657326698303
negative,Time Warner cable is down again 3rd time since Memorial Day bummer!,negative,0.9264733791351318
negative,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",negative,0.6631028056144714
negative,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,negative,0.9473949074745178
negative,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,negative,0.9603735208511353
negative,time warner has the worse customer service ever. I will never use them again,negative,0.9534579515457153
negative,Time warner is the devil. Worst possible time for the Internet to go out.,negative,0.9494151473045349
negative,Fuck no internet damn time warner!,negative,0.944922924041748
negative,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,negative,0.8676177263259888
negative,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,negative,0.9384731650352478
negative,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :),positive,0.9578121900558472
negative,Time Warner's HD line up is crap.,negative,0.9279494285583496
negative,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,negative,0.9627642035484314
neutral,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk),neutral,0.9289562702178955
negative,Time Warner Cable slogan: Where calling it a day at 2pm Happens.,neutral,0.879000723361969
neutral,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3",neutral,0.9362635016441345
neutral,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n",neutral,0.8909677863121033
neutral,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba,neutral,0.9456958770751953
neutral,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv",neutral,0.8480415940284729
neutral,http://xi.gs/04FO GM CEO: China will continue to be key partner,neutral,0.7281852960586548
neutral,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,neutral,0.9233647584915161
negative,Recovering from surgery..wishing @julesrenner was here :(,neutral,0.40368911623954773
positive,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!",negative,0.9057513475418091
neutral,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?,neutral,0.4831560254096985
negative,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!",negative,0.937741219997406
negative,@kirstiealley my dentist is great but she's expensive...=(,negative,0.8625810742378235
neutral,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,neutral,0.8050941824913025
positive,is studing math ;) tomorrow exam and dentist :),positive,0.836199164390564
negative,my dentist was wrong... WRONG,negative,0.914183497428894
negative,Going to the dentist later.:|,negative,0.7387927174568176
negative,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,negative,0.7930644750595093
neutral,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx,neutral,0.9277986288070679
neutral,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR,neutral,0.890404999256134
neutral,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.,neutral,0.8089041113853455
neutral,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796,neutral,0.49712708592414856
neutral,waiting in line at safeway.,neutral,0.8969069123268127
negative,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?,negative,0.7446895837783813
neutral,Did not realize there is a gym above Safeway!,neutral,0.6705992817878723
neutral,"@XPhile1908 I have three words for you: ""Safeway dot com""",neutral,0.7646270394325256
positive,Safeway is very rock n roll tonight,neutral,0.5795546174049377
neutral,Bout to hit safeway I gotta eat,neutral,0.7191981673240662
neutral,Jake's going to safeway!,neutral,0.6173195838928223
neutral,Found a safeway. Picking up a few staples.,neutral,0.5364169478416443
neutral,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w,neutral,0.8284438848495483
negative,The safeway bathroom still smells like ass!,negative,0.9291970729827881
negative,"At safeway on elkhorn, they move like they're dead!",negative,0.8057758808135986
neutral,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O,neutral,0.8750917911529541
neutral,Is Eating and Watching Movies....,neutral,0.8807775974273682
neutral,eating sashimi,neutral,0.7151732444763184
neutral,is eating  home made yema,neutral,0.8215226531028748
neutral,eating cake,positive,0.4904356896877289
positive,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.,positive,0.9299718141555786
negative,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic,negative,0.8420842289924622
neutral,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc,neutral,0.7003628015518188
positive,is lovin his Nike  already and that's only from running on the spot in his bedroom,positive,0.9279048442840576
neutral,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp,positive,0.5639628767967224
positive,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.,positive,0.8436266779899597
neutral,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/,neutral,0.7088400721549988
neutral,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb,neutral,0.7180247902870178
neutral,@anna_debenham what was the php jquery hack?,neutral,0.6385406851768494
neutral,jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/,neutral,0.8121335506439209
neutral,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5,neutral,0.76580411195755
positive,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",positive,0.9491971731185913
positive,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet",neutral,0.7779936790466309
neutral,Warren Buffet on the economy http://ping.fm/Lau0p,neutral,0.6826106309890747
positive,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",positive,0.7289311289787292
positive,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",positive,0.901486337184906
neutral,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA,neutral,0.694847047328949
positive,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2,positive,0.9653783440589905
neutral,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...",positive,0.6246891021728516
negative,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.,negative,0.9550896883010864
negative,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!,negative,0.9540106654167175
negative,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :),positive,0.49735987186431885
negative,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.,negative,0.9507087469100952
negative,"wth..i have never seen a line this loooong at time warner before, ugh.",negative,0.8136183023452759
negative,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon,positive,0.9488734602928162
neutral,Man accosts Roger Federer during French Open http://ff.im/3HCPT,neutral,0.9339243173599243
negative,Naive Bayes using EM for Text Classification. Really Frustrating...,negative,0.8826249837875366
positive,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.,positive,0.8881386518478394
neutral,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme,neutral,0.7969326376914978
neutral,"I'm going to bed. It was a successful weekend. Stanford, here I come.",positive,0.9634471535682678
negative,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags",negative,0.8809190392494202
negative,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.,negative,0.8706521391868591
negative,#at&amp;t is complete fail.,negative,0.9351410269737244
negative,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU,neutral,0.8220245838165283
negative,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal,negative,0.9460954070091248
negative,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",negative,0.777340829372406
negative,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299,negative,0.9324617981910706
negative,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.,positive,0.8453640341758728
negative,@ims What is AT&amp;T fucking up?,negative,0.947097897529602
negative,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!,negative,0.9578781127929688
negative,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.",positive,0.698726236820221
neutral,Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc,neutral,0.8878573775291443
negative,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8",neutral,0.5524306893348694
negative,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye",negative,0.8570457100868225
neutral,@mattcutts have google profiles stopped showing up in searches? cant see them anymore,negative,0.62375408411026
positive,@ArunBasilLal I love Google Translator too ! :D Good day mate !,positive,0.9891314506530762
positive,reading on my new Kindle2!,positive,0.7610456943511963
positive,My Kindle2 came and I LOVE it! :),positive,0.9896228313446045
positive,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!",positive,0.9862751960754395
negative,The real AIG scandal / http://bit.ly/b82Px,neutral,0.7326220870018005
neutral,Any twitter to aprs apps yet?,neutral,0.8878647089004517
neutral,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ,neutral,0.5792480111122131
positive,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.,positive,0.9830467104911804
positive,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech..",positive,0.9834486842155457
positive,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!",positive,0.9717459678649902
positive,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM,positive,0.9841665029525757
positive,"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7",neutral,0.8727819323539734
positive,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu,neutral,0.5484090447425842
positive,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;),positive,0.9860718846321106
negative,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750,negative,0.7742083668708801
positive,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,positive,0.966239333152771
positive,"@khalid0456 No, Lebron is the best",positive,0.8236840963363647
positive,@the_real_usher LeBron is cool.  I like his personality...he has good character.,positive,0.9289321899414062
positive,Watching Lebron highlights. Damn that niggas good,positive,0.8768016695976257
positive,@Lou911 Lebron is MURDERING shit.,negative,0.9041561484336853
positive,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.,negative,0.5227172374725342
positive,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.,positive,0.49399295449256897
positive,KOBE IS GOOD BT LEBRON HAS MY VOTE,positive,0.8782941102981567
negative,Kobe is the best in the world not lebron .,positive,0.5370295643806458
positive,"@asherroth World Cup 2010 Access?? Damn, that's a good look!",positive,0.9550485610961914
positive,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI,positive,0.976592481136322
neutral,Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG,neutral,0.9248050451278687
negative,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :),neutral,0.40444478392601013
positive,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.",positive,0.7968888878822327
positive,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday.",positive,0.9091687202453613
positive,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF,positive,0.9860036969184875
neutral,ok.. do nothing.. just thinking about 40D,neutral,0.7624849677085876
positive,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!",positive,0.9877378940582275
positive,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H,positive,0.5768875479698181
positive,http://is.gd/ArUJ Good video from Google on using search options.,positive,0.960656464099884
negative,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.,negative,0.891874372959137
negative,itchy back!! dont ya hate it!,negative,0.7286465167999268
positive,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH,positive,0.6159482598304749
positive,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl,positive,0.9238072633743286
positive,Lyx is cool.,positive,0.8716813325881958
